Tilltalsnamn,Antal bärare
Aaban,3
Aad,2
Aadam,19
Aadan,16
Aadel,9
Aaden,7
Aadhav,2
Aadhiran,4
Aadhrit,2
Aadhvik,2
Aadi,7
Aadil,12
Aadit,3
Aadithya,3
Aaditya,4
Aado,3
Aadrian,2
Aadu,5
Aadvik,10
Aaed,11
Aage,62
Aagney,2
Aahaan,2
Aahed,2
Aahil,18
Aahnik,2
Aaid,4
Aakash,13
Aake,3
Aakif,2
Aako,8
Aale,4
Aaliyan,2
Aamar,2
Aamer,33
Aamir,50
Aamos,2
Aanas,2
Aapo,7
Aaqib,2
Aaraf,2
Aaran,4
Aarash,2
Aarav,58
Aare,27
Aaref,2
Aarez,3
Aari,4
Aarian,5
Aarib,2
Aarif,2
Aarin,3
Aarish,4
Aarit,2
Aariv,5
Aariz,28
Aarnav,2
Aarne,151
Aarni,11
Aarno,51
Aaro,55
Aarón,11
Aaron,1385
Aarre,64
Aarron,2
Aart,11
Aarto,5
Aarush,24
Aarya,4
Aaryan,19
Aaryav,2
Aasem,3
Aashar,2
Aashir,2
Aashish,6
Aashray,2
Aasim,4
Aaso,2
Aasr,2
Aassem,3
Aate,6
Aatef,2
Aatif,2
Aatos,27
Aatto,10
Aatu,8
Aawat,3
Aavo,7
Aavyan,2
Aayad,2
Aayan,29
Aayansh,5
Aayush,13
Aayushman,2
Aazar,2
Ab,3
Aba,6
Abaadir,2
Abaan,3
Abaas,23
Ababacar,3
Ababacarr,4
Abad,9
Abada,4
Abadi,13
Abadir,8
Abakar,3
Abakir,8
Abal,3
Abalfazl,2
Aban,12
Abanob,39
Abanoub,45
Abas,177
Abase,3
Abaseen,4
Abasin,3
Abass,40
Abate,3
Abather,2
Abay,4
Abayomi,6
Abaz,26
Abazar,6
Abazer,4
Abba,6
Abbar,2
Abbas,1459
Abbasali,12
Abbas-Ali,2
Abbass,16
Abbe,1118
Abbed,2
Abbes,5
Abbey,6
Abbi,4
Abbod,7
Abbos,4
Abbot,2
Abboud,73
Abby,11
Abd,630
Abd Alaziz,3
Abd Alhadi,2
Abd Alkader,4
Abd Allah,2
Abd Alrahim,2
Abd Alrahman,15
Abd Alsalam,2
Abd Elrahman,2
Abdal,49
Abd-Al,2
Abdala,58
Abdalaa,6
